"access_num","koid","cogid","description","ec"
"CEG0001","K01972","COG0272L","DNA ligase (NAD+)","[EC:6.5.1.2]"
"CEG0002","K01890","COG0072J","phenylalanyl-tRNA synthetase beta chain","[EC:6.1.1.20]"
"CEG0003","K02931","COG0094J","large subunit ribosomal protein L5","---"
"CEG0004","K00059","COG1028IQR","3-oxoacyl-[acyl-carrier protein] reductase","[EC:1.1.1.100]"
"CEG0005","K00789","COG0192H","S-adenosylmethionine synthetase","[EC:2.5.1.6]"
"CEG0006","K00945","COG0283F","cytidylate kinase","[EC:2.7.4.14]"
"CEG0007","K00995","COG0558I","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","[EC:2.7.8.5]"
"CEG0008","K01868","COG0441J","threonyl-tRNA synthetase","[EC:6.1.1.3]"
"CEG0009","K01875","COG0172J","seryl-tRNA synthetase","[EC:6.1.1.11]"
"CEG0010","K01881","COG0442J","prolyl-tRNA synthetase","[EC:6.1.1.15]"
"CEG0011","K01889","COG0016J","phenylalanyl-tRNA synthetase alpha chain","[EC:6.1.1.20]"
"CEG0012","K02337","COG0587L","DNA polymerase III subunit alpha","[EC:2.7.7.7]"
"CEG0013","K02470","COG0187L","DNA gyrase subunit B","[EC:5.99.1.3]"
"CEG0014","K02518","COG0361J","translation initiation factor IF-1","---"
"CEG0015","K02520","COG0290J","translation initiation factor IF-3","---"
"CEG0016","K02600","COG0195K","N utilization substance protein A","---"
"CEG0017","K02835","COG0216J","peptide chain release factor RF-1","---"
"CEG0018","K02874","COG0093J","large subunit ribosomal protein L14","---"
"CEG0019","K02876","COG0200J","large subunit ribosomal protein L15","---"
"CEG0020","K02878","COG0197J","large subunit ribosomal protein L16","---"
"CEG0021","K02890","COG0091J","large subunit ribosomal protein L22","---"
"CEG0022","K02895","COG0198J","large subunit ribosomal protein L24","---"
"CEG0023","K02904","COG0255J","large subunit ribosomal protein L29","---"
"CEG0024","K02933","COG0097J","large subunit ribosomal protein L6","---"
"CEG0025","K02948","COG0100J","small subunit ribosomal protein S11","---"
"CEG0026","K02967","COG0052J","small subunit ribosomal protein S2","---"
"CEG0027","K02988","COG0098J","small subunit ribosomal protein S5","---"
"CEG0028","K02992","COG0049J","small subunit ribosomal protein S7","---"
"CEG0029","K03040","COG0202K","DNA-directed RNA polymerase subunit alpha","[EC:2.7.7.6]"
"CEG0030","K03086","COG0568K","RNA polymerase primary sigma factor","---"
"CEG0031","K03110","COG0552U","fused signal recognition particle receptor","---"
"CEG0032","K03531","COG0206D","cell division protein FtsZ","---"
"CEG0033","K00525","COG0209F","ribonucleoside-diphosphate reductase alpha chain","[EC:1.17.4.1]"
"CEG0034","K00554","COG0336J","tRNA (guanine-N1-)-methyltransferase","[EC:2.1.1.31]"
"CEG0035","K01056","COG0193J","peptidyl-tRNA hydrolase, PTH1 family","[EC:3.1.1.29]"
"CEG0036","K01409","COG0533O","O-sialoglycoprotein endopeptidase","[EC:3.4.24.57]"
"CEG0037","K01866","COG0162J","tyrosyl-tRNA synthetase","[EC:6.1.1.1]"
"CEG0038","K01872","COG0013J","alanyl-tRNA synthetase","[EC:6.1.1.7]"
"CEG0039","K01873","COG0525J","valyl-tRNA synthetase","[EC:6.1.1.9]"
"CEG0040","K01883","COG0215J","cysteinyl-tRNA synthetase","[EC:6.1.1.16]"
"CEG0041","K02519","COG0532J","translation initiation factor IF-2","---"
"CEG0042","K02622","COG0187L","topoisomerase IV subunit B","[EC:5.99.1.-]"
"CEG0043","K02838","COG0233J","ribosome recycling factor","---"
"CEG0044","K02871","COG0102J","large subunit ribosomal protein L13","---"
"CEG0045","K02879","COG0203J","large subunit ribosomal protein L17","---"
"CEG0046","K02887","COG0292J","large subunit ribosomal protein L20","---"
"CEG0047","K02926","COG0088J","large subunit ribosomal protein L4","---"
"CEG0048","K02935","COG0222J","large subunit ribosomal protein L7/L12","---"
"CEG0049","K02954","COG0199J","small subunit ribosomal protein S14","---"
"CEG0050","K02961","COG0186J","small subunit ribosomal protein S17","---"
"CEG0051","K02965","COG0185J","small subunit ribosomal protein S19","---"
"CEG0052","K02982","COG0092J","small subunit ribosomal protein S3","---"
"CEG0053","K03043","COG0085K","DNA-directed RNA polymerase subunit beta","[EC:2.7.7.6]"
"CEG0054","K03070","COG0653U","preprotein translocase subunit SecA","---"
"CEG0055","K03076","COG0201U","preprotein translocase subunit SecY","---"
"CEG0056","K03111","COG0629L","single-strand DNA-binding protein","---"
"CEG0057","K03977","COG1160R","GTP-binding protein","---"
"CEG0058","K03978","COG0218R","GTP-binding protein","---"
"CEG0059","K04567","COG1190J","lysyl-tRNA synthetase, class II","[EC:6.1.1.6]"
"CEG0060","K09903","COG0528F","uridylate kinase","[EC:2.7.4.22]"
"CEG0061","K00134","COG0057G","glyceraldehyde 3-phosphate dehydrogenase","[EC:1.2.1.12]"
"CEG0062","K00287","COG0262H","dihydrofolate reductase","[EC:1.5.1.3]"
"CEG0063","K00604","COG0223J","methionyl-tRNA formyltransferase","[EC:2.1.2.9]"
"CEG0064","K00927","COG0126G","phosphoglycerate kinase","[EC:2.7.2.3]"
"CEG0065","K00939","COG0563F","adenylate kinase","[EC:2.7.4.3]"
"CEG0066","K00948","COG0462FE","ribose-phosphate pyrophosphokinase","[EC:2.7.6.1]"
"CEG0067","K00981","COG0575I","phosphatidate cytidylyltransferase","[EC:2.7.7.41]"
"CEG0068","K01265","COG0024J","methionyl aminopeptidase","[EC:3.4.11.18]"
"CEG0069","K01689","COG0148G","enolase","[EC:4.2.1.11]"
