access_num,gid,koid,cogid,hprd_nid,nhit_ref,nevalue,nscore,hprd_aid,ahit_ref,aevalue,ascore,degid,organismid
CEG0079,16077069,K02313,COG0593L,336,NM_000749.3,0.1,100,00516_1,NP_001934.2,4.00E-01,28.35,DEG10010001,2
CEG0155,16077070,K02338,COG0592L,15996,NM_030950.2,1.3,100,01838_1,NP_003266.1,3.90E-01,27.27,DEG10010002,2
CEG0013,16077074,K02470,COG0187L,17030,NM_178831.6,0.15,100,00537_1,NP_001059.2,0,26.65,DEG10010003,2
CEG0121,16077075,K02469,COG0188L,1920,NM_003420.3,0.75,100,00537_1,NP_001059.2,2.00E-126,25.83,DEG10010004,2
CEG0267,16077077,K00088,COG0516F,1787,NM_133437.2,0.11,92.86,00895_1,NP_000875.2,0,41.25,DEG10010005,2
CEG0009,16077081,K01875,COG0172J,10969,NM_178159.1,0.025,100,15295_1,NP_060297.1,1.00E-158,32.17,DEG10010006,2
CEG1989,16077087,---,COG2812L,1179,NM_001142495,0.13,100,02675_1,NP_852136.1,1.00E-117,24.33,DEG10010007,2
CEG1799,16077096,---,COG0125F,7671,NM_019057.3,0.048,100,01773_1,NP_036277.2,5.00E-76,22.22,DEG10010008,2
CEG0082,16077099,K02341,COG0470L,2378,NM_007325.4,1.2,100,02677_4,NP_001123585.1,2.00E-54,26.7,DEG10010009,2
CEG0072,16077106,K01874,COG0143J,10475,NM_145913.3,0.15,100,08864_1,NP_004981.2,0,24.24,DEG10010010,2
CEG0198,16077114,K00919,COG1947I,10636,NM_024524.3,1,100,04942_1,NP_004827.4,7.40E-01,36.54,DEG10010011,2
CEG0162,16077118,K04042,COG1207M,14823,NM_006675.3,0.026,100,13589_1,NP_037466.2,3.00E-113,21.83,DEG10010012,2
CEG0066,16077119,K00948,COG0462FE,15852,NM_152360.2,0.005,100,02413_1,NP_002755.1,2.00E-138,46.79,DEG10010013,2
CEG0035,16077121,K01056,COG0193J,644,NM_001018080,0.17,100,12936_1,NP_001002913.1,1.00E-67,31.14,DEG10010014,2
CEG0866,16077130,K13052,COG2919D,15214,NM_017805.2,6.8,95,19270_1,NP_005631.1,6.00E-03,29.13,DEG10010015,2
CEG0102,16077135,K04075,COG0037D,10564,NM_148674.3,0.11,100,14270_1,NP_660275.2,3.00E-03,25.53,DEG10010016,2
CEG0381,16077136,K00760,COG0634F,3674,NM_001143823,2.5,100,02388_1,NP_000185.1,3.00E-68,37.22,DEG10010017,2
CEG0059,16077150,K04567,COG1190J,8989,NM_001105250,1.8,100,03249_1,AAG30114.1,1.00E-166,42.66,DEG10010018,2
CEG0171,16077158,K00991,COG1211I,17324,NM_001142936,0.82,100,19679_2,NP_001094896.1,4.00E-97,27.2,DEG10010019,2
CEG0204,16077159,K01770,COG0245I,11730,NM_152600.2,0.14,100,09994_1,NP_055412.2,1.8,24.05,DEG10010020,2
CEG0438,16077160,K09698,COG0008J,4952,NM_003637.3,0.44,100,11174_2,NP_597708.1,0,32.4,DEG10010021,2
CEG0040,16077162,K01883,COG0215J,2487,NM_002357.2,0.42,100,07763_1,NP_078813.1,0,33.88,DEG10010022,2
CEG0330,16077167,K02913,COG0267J,11985,NM_014384.2,0.16,100,05297_1,NP_006593.2,4.2,40,DEG10010023,2
CEG0159,16077168,K03073,COG0690U,4945,NM_001340.3,0.013,100,,,no hit,no hit,DEG10010024,2
CEG1787,16077171,---,COG0081J,15212,NM_001031799,0.82,100,14737_2,NP_064621.3,6.00E-81,23.04,DEG10010025,2
CEG1808,16077172,---,COG0244J,17321,NM_145809.1,0.58,100,14738_2,NP_660298.2,6.10E-02,20.96,DEG10010026,2
CEG0048,16077173,K02935,COG0222J,16972,NM_207366.2,0.11,100,03849_1,NP_002940.2,5.00E-33,30.08,DEG10010027,2
CEG1788,16077175,---,COG0085K,12245,NM_001077484,0.018,100,15943_1,NP_000929.1,6.00E-156,29.08,DEG10010028,2
CEG1789,16077176,---,COG0086K,6230,NM_001020658,1.1,100,17879_1,NP_008986.2,0,24.27,DEG10010029,2
CEG1779,16077178,---,COG0048J,4921,NM_147166.1,1.9,100,04316_3,NP_203527.1,2.00E-34,39.84,DEG10010030,2
CEG1780,16077179,---,COG0049J,1272,NM_001145339,0.14,100,17601_1,NP_057055.2,1.00E-51,31.21,DEG10010031,2
CEG1842,16077180,---,COG0480J,10304,NM_178583.2,0.63,100,07365_1,NP_079272.4,0,44.03,DEG10010032,2
CEG0179,16077181,K02358,COG0050J,18217,NM_001143819,0.36,100,03861_1,NP_003312.3,3.00E-133,57.11,DEG10010033,2
CEG0093,16077183,K02946,COG0051J,8915,NM_001042603,1.4,100,14775_1,NP_060611.2,5.00E-28,31.68,DEG10010034,2
CEG0090,16077184,K02906,COG0087J,9793,NM_181442.1,0.74,100,06175_1,NP_009139.1,1.00E-91,30.73,DEG10010035,2
CEG0047,16077185,K02926,COG0088J,3266,NM_002519.2,0.73,100,14759_2,NP_666499.1,3.00E-89,36.22,DEG10010036,2
