"gid","gene_name","fundescrp"
"16077069","dnaA","initiation of chromosome replication"
"16077070","dnaN","DNA polymerase III (beta subunit)"
"16077074","gyrB","DNA gyrase (subunit B)"
"16077075","gyrA","DNA gyrase (subunit A)"
"16077077","guaB","inosine-monophosphate dehydrogenase"
"16077081","serS","seryl-tRNA synthetase"
"16077087","dnaX","DNA polymerase III (gamma and tau subunits)"
"16077096","tmk/tdk","thymidylate kinase"
"16077099","holB","DNA polymerase III (delta subunit)"
"16077106","metS/metG","methionyl-tRNA synthetase"
"16077114","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase"
"16077118","gcaD","UDP-N-acetylglucosamine pyrophosphorylase"
"16077119","prs","phosphoribosylpyrophosphate synthetase"
"16077121","pth","peptidyl-tRNA hydrolase,(spoVC)"
"16077130","divIC","cell-division initiation protein (septum formation)"
"16077135","yacA","conserved protein"
"16077136","hprT","hypoxanthine-guanine phosphoribosyltransferase"
"16077150","lysS","lysyl-tRNA synthetase"
"16077158","yacM/ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase"
"16077159","yacN/ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
"16077160","gltX","glutamyl-tRNA synthetase"
"16077162","cysS","cysteinyl-tRNA synthetase"
"16077167","rpmGB/rpmG","ribosomal protein L33"
"16077168","secE","preprotein translocase subunit"
"16077171","rplA","ribosomal protein L1 (BL1)"
"16077172","rplJ","ribosomal protein L10 (BL5)"
"16077173","rplL","ribosomal protein L12 (BL9)"
"16077175","rpoB","RNA polymerase (beta subunit)"
"16077176","rpoC","RNA polymerase (beta subunit)"
"16077178","rpsL","ribosomal protein S12 (BS12)"
"16077179","rpsG","ribosomal protein S7 (BS7)"
"16077180","fusA","elongation factor G"
"16077181","tufA/tuf","elongation factor Tu"
"16077183","rpsJ","ribosomal protein S10 (BS13)"
"16077184","rplC","ribosomal protein L3 (BL3)"
"16077185","rplD","ribosomal protein L4"
"16077186","rplW","ribosomal protein L23"
"16077187","rplB","ribosomal protein L2 (BL2)"
"16077188","rpsS","ribosomal protein S19 (BS19)"
"16077189","rplV","ribosomal protein L22 (BL17)"
"16077190","rpsC","ribosomal protein S3 (BS3)"
"16077191","rplP","ribosomal protein L16"
"16077192","rpmC","ribosomal protein L29"
"16077193","rpsQ","ribosomal protein S17 (BS16)"
"16077194","rplN","ribosomal protein L14"
"16077195","rplX","ribosomal protein L24 (BL23) (histone-like protein HPB12)"
"16077196","rplE","ribosomal protein L5 (BL6)"
"16077197","rpsN","ribosomal protein S14"
"16077198","rpsH","ribosomal protein S8 (BS8)"
"16077199","rplF","ribosomal protein L6 (BL8)"
"16077200","rplR","ribosomal protein L18"
"16077201","rpsE","ribosomal protein S5"
"16077202","rpmD","ribosomal protein L30 (BL27)"
"16077203","rplO","ribosomal protein L15"
"16077204","secY","preprotein translocase subunit"
"16077205","adk","adenylate kinase"
"16077206","map","methionine aminopeptidase"
"16077207","infA","initiation factor IF-1"
"16077208","rpmJ","ribosomal protein L36 (ribosomal protein B)"
"16077209","rpsM","ribosomal protein S13"
"16077210","rpsK","ribosomal protein S11 (BS11)"
"16077211","rpoA","RNA polymerase (alpha subunit)"
"16077212","rplQ","ribosomal protein L17 (BL15)"
"16077217","rplM","ribosomal protein L13"
"16077218","rpsI","ribosomal protein S9"
"16077245","ybbT","phosphoglucomutase (gluconeogenesis)"
"16077246","glmS","L-glutamine-D-fructose-6-phosphate amidotransferase"
"16077382","nadE","NH3-dependent NAD+ synthetase"
"16077523","ddl","D-alanyl-D-alanine ligase A"
